UQ	7
UR	15303
US	12808
UT	11423
UU	22
UV	82
UW	7
UX	110
UY	128
UZ	53
VA	3946
VB	2
VC	6
VD	8
VE	23270
VF	1
VG	2
VH	2
VI	7600
VJ	0
VK	0
VL	11
VM	3
VN	4
VO	2004
VP	5
VQ	0
VR	24
VS	16
VT	6
VU	62
VV	2
VW	0
VX	0
VY	138
VZ	0
WA	10865
WB	29
WC	19
WD	99
WE	10176
WF	45
WG	2
WH	10680
WI	10557
WJ	0
WK	30
WL	429
WM	30
WN	2227
WO	6252
WP	20
WQ	0
WR	867
WS	989
WT	184
WU	19
WV	0
WW	7
WX	0
WY	68
WZ	0
XA	834
XB	2
XC	746
XD	0
XE	614
XF	52
XG	0
XH	117
XI	1111
XJ	0
XK	0
XL	16
XM	6
XN	1
XO	76
XP	1885
XQ	8
XR	0
XS	1
XT	1315
XU	134
XV	55
XW	6
XX	79
XY	72
XZ	0
YA	444
YB	121
YC	380
YD	192
YE	2612
YF	21
YG	73
YH	14
YI	812
YJ	0
YK	9
YL	416
YM	667
YN	372
YO	4226
YP	702
YQ	0
YR	219
YS	2730
YT	470
YU	37
YV	5
YW	95
YX	4
YY	1
YZ	51
ZA	702
ZB	5
ZC	2
ZD	1
ZE	1402
ZF	0
ZG	4
ZH	18
ZI	341
ZJ	0
ZK	0
ZL	35
ZM	4
ZN	4
ZO	202
ZP	1
ZQ	0
ZR	5
ZS	8
ZT	6
ZU	60
ZV	4
ZW	6
ZX	0
ZY	66
ZZ	75
